X,Y,OBJECTID,ZoneDesc,CENTROID_X,CENTROID_Y,ZoneName,MeterName
130.84511925690569,-12.466288615134557,1,Zone A ($2.50/hr up to 2 hrs),700537.810976,8621187.00854,ZONE A,SMI029
130.844652420966611,-12.465838591257972,2,Zone A ($2.50/hr up to 2 hrs),700487.402785,8621237.14937,ZONE A,SMI030
130.8444397125931,-12.46563137271378,3,Zone A ($2.50/hr up to 2 hrs),700464.4365,8621260.23559,ZONE A,SMI031
130.845535011053158,-12.463602319600621,4,Off Street Carpark,700585.078723,8621483.89024,ZONE A,NICH A
130.844305956856175,-12.465677360153741,5,Zone A ($2.50/hr up to 2 hrs),700449.859212,8621255.24891,ZONE A,SMI020
130.841207704625532,-12.462077519966288,6,Zone A ($2.50/hr up to 2 hrs),700115.780379,8621655.85262,ZONE A,EDM091
130.84159948922138,-12.461683411946604,7,Zone A ($2.50/hr up to 2 hrs),700158.678333,8621699.15879,ZONE A,EDM092
130.840970570117463,-12.46131867409234,8,Zone A ($2.50/hr up to 2 hrs),700090.581125,8621739.98551,ZONE A,SEA093
130.840324216131279,-12.461637165265589,9,Zone A ($2.50/hr up to 2 hrs),700020.06411,8621705.23685,ZONE A,SMI033
130.83943741402544,-12.460950999868363,10,Zone A ($2.50/hr up to 2 hrs),699924.175674,8621781.81825,ZONE A,SMI027
130.839692686191995,-12.461021354155513,11,Zone A ($2.50/hr up to 2 hrs),699951.875357,8621773.84244,ZONE A,SMI035
130.839758420972004,-12.46061107058722,12,Zone A ($2.50/hr up to 2 hrs),699959.33676,8621819.18414,ZONE A,WHI103
130.839210374227122,-12.460558633643437,13,Zone A ($2.50/hr up to 2 hrs),699899.792338,8621825.39829,ZONE A,SMI036
130.841213838612163,-12.462497459728,14,Zone A ($2.50/hr up to 2 hrs),700116.12498,8621609.38835,ZONE A,SMI032
130.841425257039589,-12.462886301917193,15,Zone A ($2.50/hr up to 2 hrs),700138.81217,8621566.20984,ZONE A,SMI022
130.841030770646398,-12.462500230737021,16,Zone A ($2.50/hr up to 2 hrs),700096.219476,8621609.21992,ZONE A,SMI023
130.840716161042025,-12.4621958596005,17,Zone A ($2.50/hr up to 2 hrs),700062.248258,8621643.13093,ZONE A,SMI024
130.840402104740974,-12.461890935565828,18,Zone A ($2.50/hr up to 2 hrs),700028.33757,8621677.10259,ZONE A,SMI025
130.84008474661718,-12.461582804886545,19,Zone A ($2.50/hr up to 2 hrs),699994.07026,8621711.43151,ZONE A,SMI026
130.838941078110025,-12.460849080646065,20,Off Street Carpark,699870.29126,8621793.46791,ZONE A,
130.844587074869565,-12.464077032291467,21,Zone A ($2.50/hr up to 2 hrs),700481.65311,8621432.08732,ZONE A,CAV037
130.844726018279488,-12.463907776146709,22,Zone A ($2.50/hr up to 2 hrs),700496.88932,8621450.70778,ZONE A,CAV057
130.844300579760585,-12.463512998954899,23,Zone A ($2.50/hr up to 2 hrs),700450.938787,8621494.70514,ZONE A,CAV056
130.844011274864954,-12.463199216462996,24,Zone A ($2.50/hr up to 2 hrs),700419.72648,8621529.63872,ZONE A,CAV055
130.84376290731521,-12.462961002345672,25,Zone A ($2.50/hr up to 2 hrs),700392.90684,8621556.18094,ZONE A,CAV054
130.843498859243709,-12.462705929122702,26,Zone A ($2.50/hr up to 2 hrs),700364.3952,8621584.60005,ZONE A,CAV053
130.843284541150041,-12.462500253129646,27,Zone A ($2.50/hr up to 2 hrs),700341.25226,8621607.5167,ZONE A,CAV052
130.843003826671946,-12.462229953265544,28,Zone A ($2.50/hr up to 2 hrs),700310.94031,8621637.63296,ZONE A,CAV051
130.842459382894248,-12.461704805004389,29,Zone A ($2.50/hr up to 2 hrs),700252.15094,8621696.1432,ZONE A,CAV050
130.842201992009393,-12.461461066416426,30,Zone A ($2.50/hr up to 2 hrs),700224.354119,8621723.30317,ZONE A,CAV049
130.841192056316345,-12.460490095938065,31,Zone A ($2.50/hr up to 2 hrs),700115.297289,8621831.48729,ZONE A,CAV048
130.841536519158666,-12.460281907638675,32,Off Street Carpark,700152.90785,8621854.26021,ZONE A,
130.840870739122607,-12.46017823379057,33,Zone A ($2.50/hr up to 2 hrs),700080.602283,8621866.23213,ZONE A,CAV047
130.841194612568557,-12.460761699631242,34,Zone A ($2.50/hr up to 2 hrs),700115.36681,8621801.43676,ZONE A,CAV046
130.842046796899751,-12.461594335651798,35,Zone A ($2.50/hr up to 2 hrs),700207.37868,8621708.67615,ZONE A,CAV045
130.842377203683526,-12.461914903403882,36,Zone A ($2.50/hr up to 2 hrs),700243.054936,8621672.96125,ZONE A,CAV044
130.842768016938322,-12.462326717486869,37,Zone A ($2.50/hr up to 2 hrs),700285.22844,8621627.10558,ZONE A,CAV043
130.843026257154833,-12.462573951175596,38,Zone A ($2.50/hr up to 2 hrs),700313.114667,8621599.55821,ZONE A,CAV042
130.843340699849563,-12.462878639397083,39,Zone A ($2.50/hr up to 2 hrs),700347.06725,8621565.61189,ZONE A,CAV041
130.843595304376407,-12.463122106324874,40,Zone A ($2.50/hr up to 2 hrs),700374.560973,8621538.48395,ZONE A,CAV040
130.843837319235888,-12.463354237462772,41,Zone A ($2.50/hr up to 2 hrs),700400.69469,8621512.6195,ZONE A,CAV039
