"Name","Longitude","Latitude"
"Nightcliff Foreshore","130.85573645384","-12.375770206907"
"Nightcliff Pool","130.848446885367","-12.3768427197567"
"Casuarina Pool","130.884364114002","-12.3742345230012"
"Casuarina Child Centre","130.87975446833","-12.3749669733017"
"Jingili Oval","130.874628207377","-12.3884940935089"
"Yanyula Park","130.890950126403","-12.3898958350405"
"Moil Oval","130.8812694151","-12.390099130686"
"Malak Oval","130.902790843458","-12.3945056736367"
"Karama Childcare Centre","130.916660126685","-12.4016247784827"
"Nightcliff Childcare Centre","130.850584577538","-12.3822996396879"
"Parap Childcare Centre","130.84005425395","-12.4354588098152"
"Stuart Park Childcare Centre","130.846064563379","-12.4442227417455"
"Vestey's Lagoon","130.836142714342","-12.4328653445048"
"Mitchell Street Childcare Centre","130.833694229428","-12.457495792661"
"Bicentennial Park","130.836947819959","-12.4631196248228"
"William Forster Park","130.89526744384","-12.3621549290679"
"Rapid Creek Reserve","130.868310063805","-12.391127925502"
"Jingili Water Gardens","130.867662630899","-12.3872635660406"
"Rapid Creek Reserve - North","130.863428221261","-12.3809052536395"
"Darwin City Public Library","130.845611048248","-12.4648484826762"
"Lake Alexander","130.831677904244","-12.4142971782918"
"Jingili Water Gardens Skate Park","130.86650757049","-12.3855088615884"
"East Point Reserve","130.825081334505","-12.4093960068618"
"Civic Centre","130.845702515693","-12.4645163008095"
"Mindil Beach","130.832613916534","-12.445714362871"
