"Type","Longitude","Latitude"
"Zone A ($2.50/hr up to 2 hrs)","130.845119256906","-12.4662886151346"
"Zone A ($2.50/hr up to 2 hrs)","130.844652420967","-12.465838591258"
"Zone A ($2.50/hr up to 2 hrs)","130.844439712593","-12.4656313727138"
"Off Street Carpark","130.845535011053","-12.4636023196006"
"Zone A ($2.50/hr up to 2 hrs)","130.844305956856","-12.4656773601537"
"Zone A ($2.50/hr up to 2 hrs)","130.841207704626","-12.4620775199663"
"Zone A ($2.50/hr up to 2 hrs)","130.841599489221","-12.4616834119466"
"Zone A ($2.50/hr up to 2 hrs)","130.840970570117","-12.4613186740923"
"Zone A ($2.50/hr up to 2 hrs)","130.840324216131","-12.4616371652656"
"Zone A ($2.50/hr up to 2 hrs)","130.839437414025","-12.4609509998684"
"Zone A ($2.50/hr up to 2 hrs)","130.839692686192","-12.4610213541555"
"Zone A ($2.50/hr up to 2 hrs)","130.839758420972","-12.4606110705872"
"Zone A ($2.50/hr up to 2 hrs)","130.839210374227","-12.4605586336434"
"Zone A ($2.50/hr up to 2 hrs)","130.841213838612","-12.462497459728"
"Zone A ($2.50/hr up to 2 hrs)","130.84142525704","-12.4628863019172"
"Zone A ($2.50/hr up to 2 hrs)","130.841030770646","-12.462500230737"
"Zone A ($2.50/hr up to 2 hrs)","130.840716161042","-12.4621958596005"
"Zone A ($2.50/hr up to 2 hrs)","130.840402104741","-12.4618909355658"
"Zone A ($2.50/hr up to 2 hrs)","130.840084746617","-12.4615828048865"
"Off Street Carpark","130.83894107811","-12.4608490806461"
"Zone A ($2.50/hr up to 2 hrs)","130.84458707487","-12.4640770322915"
"Zone A ($2.50/hr up to 2 hrs)","130.844726018279","-12.4639077761467"
"Zone A ($2.50/hr up to 2 hrs)","130.844300579761","-12.4635129989549"
"Zone A ($2.50/hr up to 2 hrs)","130.844011274865","-12.463199216463"
"Zone A ($2.50/hr up to 2 hrs)","130.843762907315","-12.4629610023457"
"Zone A ($2.50/hr up to 2 hrs)","130.843498859244","-12.4627059291227"
"Zone A ($2.50/hr up to 2 hrs)","130.84328454115","-12.4625002531296"
"Zone A ($2.50/hr up to 2 hrs)","130.843003826672","-12.4622299532655"
"Zone A ($2.50/hr up to 2 hrs)","130.842459382894","-12.4617048050044"
"Zone A ($2.50/hr up to 2 hrs)","130.842201992009","-12.4614610664164"
"Zone A ($2.50/hr up to 2 hrs)","130.841192056316","-12.4604900959381"
"Off Street Carpark","130.841536519159","-12.4602819076387"
"Zone A ($2.50/hr up to 2 hrs)","130.840870739123","-12.4601782337906"
