"Name","Longitude","Latitude"
"Darwin City Library","130.845644147476","-12.4648077599175"
"Smith Street Mall","130.843161364736","-12.4644852357332"
"Smith Street Mall","130.842542724403","-12.4638939706002"
"Smith Street Mall","130.84200663284","-12.4633633587223"
"Smith Street Mall","130.841772623909","-12.463106168853"
"Tamarind Park","130.841032122622","-12.4639385944293"
"Nightcliff Library","130.850385796926","-12.3870626091495"
"Nightcliff Cafe and Surrounds","130.848027197366","-12.3772232820591"
"Nightcliff Cafe and Surrounds","130.848534859191","-12.3770057769029"
"Nightcliff Cafe and Surrounds","130.847618763305","-12.3777364937193"
"Nightcliff Cafe and Surrounds","130.847838497464","-12.377066494566"
"Nightcliff Cafe and Surrounds","130.848005861055","-12.376571387782"
"Nightcliff Cafe and Surrounds","130.848490815824","-12.3764594165285"
"Nightcliff Cafe and Surrounds","130.849070211319","-12.3764390108611"
"Nightcliff Cafe and Surrounds","130.848825456354","-12.3768852480751"
"Casuarina Library","130.879922117058","-12.3742525745168"
"Karama Library","130.915321497673","-12.4008708792862"
"Nightcliff Cafe and Surrounds","130.84846930493","-12.3770294290077"
"Nightcliff Cafe and Surrounds","130.847963039437","-12.3772540878423"
"Civic Centre","130.845131203696","-12.4645650556372"
"Anula Regional Playground","130.891456686751","-12.3912536419942"
