"DisplayName","Filename","Instances"
"AFL Fields","AFLfield","9"
"Baby Changing Room","BabyChangeRoom","12"
"Basketball Courts","BasketballCourts","4"
"BBQ Facilities","BBQ","27"
"Bike Racks","BikeRacks","9"
"Cricket Fields","CricketField","8"
"Drinking Fountains","Fountains","25"
"Exercise Equipments","ExerciseEquipment","6"
"Gaelic Football Fields","GaelicFootballField","2"
"Metered Parking","Parking_Metered","289"
"Picnic Tables","PicnicTables","12"
"Playground with Shade","Playgrounds_Shaded","21"
"Playgrounds","Playgrounds","183"
"Playgrounds with Disabled Access","Playgrounds_Disabled","3"
"Public Parks","Parks","253"
"Rugby Field","RugbyField","1"
"Share Paths - Cyclists and Pedestrians","SharedPaths","47"
"Showers","Showers","19"
"Skateboard Parks","SkateboardPark","2"
"Soccer Field","SoccerFields","6"
"Softball Fields","SoftballField","2"
"Street Food","StreetFood","15"
"Swimming Pools","SwimmingPools","3"
"Tennis Courts","TennisCourts","4"
"Toilets - 24 hours","Toilets24","6"
"Toilets - Daytime Hours","ToiletsDaytime","19"
"Velodrome","Velodrome","1"
"Visitor's Centre","Visit","1"
"Watercraft Facilities","Watercraft","1"
"WIFI Access Points","Wifi","21"
