"Name","Longitude","Latitude"
"Casuarina Pool Complex - Lot 6249","130.884600116582","-12.3742802000993"
"Foreshore Pavilion Opposite Lake Alexander - Nth","130.828607468128","-12.4118724568738"
"Foreshore Pavilion Opposite Lake Alexander - Sth","130.828685421219","-12.4119340283836"
"Pavilion north of Military Museum & Gun Turrets","130.822168853014","-12.4048456388463"
"Lake Alexander Surrounds - Pavilion near Surf Lifesaving sheds","130.831568237945","-12.412357925781"
"Lake Alexander Surrounds - Pavilion near Playground","130.830556411407","-12.4125847666441"
"Pavilion north end of Market Area","130.832005964316","-12.4438572858987"
"Pavilion adjacent to Aralia Street","130.855113721927","-12.3752348439626"
"Pavilion adjacent to Jacaranda Avenue, opposite Bill Bell Park","130.847230374723","-12.3781796885292"
"Parap Pool Complex - Lot 5292","130.841569760008","-12.4280611463387"
"Pavilion - Trower Rd End (Nth)","130.867586877884","-12.3859965722653"
"Pavilion - next to playground","130.867716227792","-12.3874145846662"
"Pavilion - Sanders St End (Sth)","130.868078082081","-12.3875477676219"
"Pavilion - Sailing Club End - Lot 5764","130.835119099619","-12.4305052119852"
"Adjacent to Aralia St  - Lot 9371 (Sth)","130.841694158626","-12.3815500691272"
"Adjacent to Boat Ramp carpark - Lot 9371 (Nth)","130.841769233825","-12.3802060231222"
"Nightcliff Pool Complex - Lot 8657","130.848568849624","-12.3765962942974"
"Adjacent to 296 Casuarina Dr - Lot 9353","130.852803585425","-12.374626738723"
"Adjacent to carpark opposite 226 Casuarina Dr - Lot 8694","130.843947132001","-12.3792481399489"
"Yanyula Park next to playground - Lot 7019","130.891408900355","-12.3914052344906"
"Pavilion at Malak Child Care/Community Centre - Lot 2284","130.903551646435","-12.3937272583822"
"Pavilion in Park","130.892989121823","-12.3604307718703"
"Pavilion in Park","130.893010107585","-12.3604468050671"
"Pavilion in Park","130.895308424883","-12.3618379428406"
"Pavilion in Park","130.895303070566","-12.3618221625358"
"Pavilion in Park","130.89488987299","-12.3590246919546"
"Pavilion in Park","130.894906464502","-12.3590050530095"
