"Name","Longitude","Latitude"
"Sunset Park","130.841790058742","-12.3808813655503"
"Nightcliff Foreshore","130.85573645384","-12.375770206907"
"Nightcliff Pool","130.848446885367","-12.3768427197567"
"Wulagi Oval","130.896812050395","-12.3830396479892"
"Karama Childcare Centre","130.916660126685","-12.4016247784827"
"Nightcliff Childcare Centre","130.850584577538","-12.3822996396879"
"Parap Childcare Centre","130.84005425395","-12.4354588098152"
"Stuart Park Childcare Centre","130.846064563379","-12.4442227417455"
"Vestey's Lagoon","130.836142714342","-12.4328653445048"
"Mitchell Street Childcare Centre","130.833694229428","-12.457495792661"
"Raintree Park","130.842063135466","-12.4629100590313"
"Bicentennial Park","130.836947819959","-12.4631196248228"
