"Name","Longitude","Latitude"
"Bicentennial Park","130.835007036234","-12.4618429568169"
"Nightcliff Foreshore","130.859460036283","-12.3763900347313"
"Dinah Beach Park","130.846947324141","-12.4490448530662"
"Que Noy Park","130.844337012551","-12.4491550308754"
"Ken Waters Memorial","130.836365969425","-12.4230389882149"
"Bill Sullivan Park","130.842071980633","-12.4454139790903"
"Killian Park","130.87476952505","-12.3850603176072"
"Duke Street Park","130.843108435817","-12.4510930762775"
"Nightcliff Foreshore","130.854424042533","-12.3752638185164"
"Lake Alexander","130.830522413546","-12.4127311091217"
"Colster Park","130.882259444063","-12.3820100117179"
"Rapid Creek Reserve","130.868226010371","-12.3915359646716"
"Allen Park","130.837460794719","-12.4266821590822"
"Malabar Park","130.830808996306","-12.4555639595977"
"Road Reserve - Temer","130.82642600157","-12.4541569988894"
"Mindil Beach Market","130.832716787516","-12.4441297600323"
"Vesteys Beach","130.835206056062","-12.4311708675184"
"Vesteys Beach","130.835063972411","-12.4315210220211"
"Warrego Park","130.831783968411","-12.4532650190648"
"Warrego Park","130.831920037031","-12.4532879548985"
"Peace Park","130.89461100238","-12.3742019686086"
"Fannie Bay Foreshore","130.834760539274","-12.4243292400141"
"East Point Foreshore","130.828830808012","-12.4120698063642"
"East Point Foreshore","130.829252105338","-12.4123176526926"
"Ken Waters Memorial","130.836160025692","-12.4232899871738"
"Hinkler Park","130.836475591697","-12.4213595268351"
"George Park","130.834639609772","-12.4198760657099"
"Parap Pool","130.841282038133","-12.4286520259385"
"Clancy Park","130.843968992961","-12.4277920359606"
"Clancy Park","130.844018998523","-12.4278179929996"
"Qantas Park","130.842010026724","-12.4302430085467"
"Worgan Park","130.84713397006","-12.4295399942764"
"Worgan Park","130.847038979743","-12.4295119956022"
"Arafura Park","130.848282025294","-12.4319010201292"
"Brian Chong Wee Park","130.851051978305","-12.4360589724929"
"Stoddart Park","130.854358150884","-12.4390568429399"
"Latrobe Street Park","130.859267031113","-12.4349501263176"
"Johnson Park","130.878878014445","-12.3725690259642"
"Eaton Park","130.918745019997","-12.4056057147808"
"Manunda Park","130.916762948068","-12.4037674851558"
"Whittle Park","130.917177967558","-12.3971470075722"
"Dickinson Park","130.91758953788","-12.3944313842262"
"Dickinson Park","130.917750911174","-12.394849636018"
"Mahogany Park","130.910825991534","-12.3960670058964"
"Bayfield Park","130.906047685783","-12.3908072555929"
"Bayfield Park","130.905968508141","-12.3908042872377"
"Nightcliff Foreshore","130.853176753521","-12.3743171150721"
"Nightcliff Foreshore","130.850329525977","-12.3764648988161"
"Nation Crescent Park","130.854321997466","-12.3980060376458"
"Freycinet Park","130.921007972116","-12.4068540123554"
"Lores Bonney Park","130.852957021356","-12.4300839921392"
"Lores Bonney Park","130.852763994555","-12.4301119721648"
"Lores Bonney Park","130.853023980718","-12.4300409693099"
"Lores Bonney Park","130.85280696866","-12.430130023192"
"Gilbert Park","130.849951078644","-12.4268202451931"
"Mosec Park","130.85548201801","-12.4204540188498"
"Tudawali Park","130.853831659829","-12.411344141453"
"Old McMillans Park","130.854050000568","-12.3958270070299"
"Osterman Park","130.850212011394","-12.3946340158322"
"Osterman Park","130.850162991627","-12.3943169716641"
"Sunset Cove Park","130.851250989119","-12.3917600425642"
"Bill Bell Park","130.847495566357","-12.3785870852951"
"Nightcliff Foreshore","130.847003025589","-12.3783580008115"
"Nightcliff Foreshore","130.845392741851","-12.379464766606"
"Water Gardens","130.867739986924","-12.3871999690032"
"Thornton Park","130.878259005453","-12.3871919551892"
"Thornton Park","130.878439985433","-12.3872019992635"
"Dashwood Park","130.836612986622","-12.4558140294448"
"Dashwood Park","130.836534970656","-12.4558499847423"
"Tiwi Park","130.877114973138","-12.3636069586905"
"Amsterdam Park","130.8842590023","-12.3778870171399"
"Antony Memorial Park","130.842903616167","-12.4388645416632"
"Nakara Park","130.876222023626","-12.3710729665717"
"Cameron Park","130.872002254725","-12.3856257711725"
"Savannah Park","130.899851001801","-12.3778880043682"
"Cameron Park","130.872132252349","-12.385493479378"
"Tasman Park","130.886953814659","-12.3835566359273"
"Young Park","130.871210035534","-12.3790549951241"
"Thornton Park","130.87836497152","-12.3872299902414"
"Water Gardens","130.867752017003","-12.3872390158951"
"The Mall","130.842402020913","-12.4638700349689"
"Bald Park","130.870272963983","-12.3825850202273"
"Stobo Park","130.874220983968","-12.3812180088942"
"Alawa Oval Precinct","130.870337024757","-12.3775700072599"
"Mullen Park","130.873683005943","-12.3770780386094"
"Britomart Park","130.879177973947","-12.3778199868299"
"Pavonia Way Shopping","130.85080299571","-12.3870040414398"
"Stedcombe Park","130.878892019362","-12.3800709652218"
"Stedcombe Park","130.878937034159","-12.380174035854"
"Stedcombe Park","130.879041028148","-12.3801699734013"
"Colster Park","130.882362119025","-12.3819698999512"
"Groote Park","130.887753992123","-12.3790719811288"
"Nightcliff Oval Surr","130.850764632703","-12.38254138866"
"Copeland Park","130.874752034563","-12.3687570118652"
"Harwood Park","130.879251006297","-12.3681439908734"
"Harwood Park","130.87930901895","-12.3682520318473"
"Kapalga Park","130.878661026146","-12.3653659772653"
"Calvert Park","130.874301017426","-12.3645470340084"
"Tiwi Park","130.877373975796","-12.3634190123164"
"Koolpinyah Park","130.882195965761","-12.3632619848329"
"Dorisvale Park","130.88361200397","-12.3610910256022"
"Easther Park","130.853856001955","-12.3900379869193"
"Easther Park","130.853984995495","-12.3899120354345"
"Grevillea Park","130.84606596782","-12.3827790357114"
"Nightcliff Oval Surr","130.850812460361","-12.3824747314675"
"Sunset Park","130.841504976612","-12.3810820161906"
"Nightcliff Oval Surr","130.850735126901","-12.3826364783099"
"Sunset Park","130.84160998696","-12.3809089685972"
"Amsterdam Park","130.884260030698","-12.3778929737246"
"Duke Street Park","130.842939530311","-12.450941502585"
"Nightcliff Foreshore","130.855078558827","-12.3753574042891"
"Thornton Park","130.878404022634","-12.3873470179858"
"Greenwood Park","130.881759005372","-12.3858450067831"
"Moil Park","130.881954005893","-12.389999064337"
"Byrne Park","130.8828810066","-12.3933389754699"
"Wulagi Park","130.896435024474","-12.3821559792484"
