"Name","Longitude","Latitude"
"Sunset Park","130.841790058742","-12.3808813655503"
"Nightcliff Foreshore","130.85573645384","-12.375770206907"
"Casuarina Child Centre","130.87975446833","-12.3749669733017"
"Yanyula Park","130.890950126403","-12.3898958350405"
"Karama Childcare Centre","130.916660126685","-12.4016247784827"
"Nightcliff Oval","130.851634888499","-12.3830119707043"
"Nightcliff Childcare Centre","130.850584577538","-12.3822996396879"
"Bagot Oval","130.857475638193","-12.3965470998861"
"Parap Childcare Centre","130.84005425395","-12.4354588098152"
"Stuart Park Childcare Centre","130.846064563379","-12.4442227417455"
"Dinah Beach Oval","130.847504556749","-12.4489834070626"
"Vestey's Lagoon","130.836142714342","-12.4328653445048"
"Mitchell Street Childcare Centre","130.833694229428","-12.457495792661"
"Smith Street Mall","130.842528202085","-12.4638783783041"
"Bicentennial Park","130.836947819959","-12.4631196248228"
"Jingili Water Gardens","130.867662630899","-12.3872635660406"
"Lake Alexander","130.831677904244","-12.4142971782918"
"Malak Childcare Centre","130.903789805431","-12.3941034076535"
"Lyons Community Centre","130.888257818773","-12.3593392330592"
"Garanmanuk Park","130.887258763271","-12.358819007208"
"Mindil Beach","130.832613916534","-12.445714362871"
