"Name","Longitude","Latitude"
"Sunset Park","130.841790058742","-12.3808813655503"
"Nightcliff Foreshore","130.85573645384","-12.375770206907"
"Nightcliff Pool","130.848446885367","-12.3768427197567"
"Ellengowan Park","130.873818687181","-12.3658364449876"
"Tommy Lyons Park","130.888743052112","-12.3549810145478"
"Matla Park","130.889797762254","-12.360785825866"
"Dangoerra Park","130.891130833036","-12.3638568035823"
"Blackburn St Park","130.893980086714","-12.3655203136942"
"Bilingga Park","130.887059345892","-12.3520130181725"
"Bowditch St Park","130.891939067723","-12.3580008284"
"Wulagi Greenbelt","130.891690810708","-12.3828503788936"
"Wulagi Oval","130.896812050395","-12.3830396479892"
"Wulagi Greenbelt","130.897063199556","-12.3858487170041"
"Anula Greenbelt","130.889148942627","-12.3879012321745"
"Yanyula Greenbelt","130.895422140339","-12.3903201846666"
"Driffield Park","130.887775899313","-12.3921318374655"
"Butters Park","130.881447454122","-12.3923589695856"
"Moody Park","130.90713343709","-12.3885945169371"
"Bayfield Park","130.906577951435","-12.3917374198477"
"Malak Oval","130.902790843458","-12.3945056736367"
"Abbot Park","130.905821838292","-12.3992536263382"
"Bike Fun Park","130.868091691051","-12.3825548386757"
"Lakeside Drive Community Garden","130.8686409096","-12.3804694924367"
"Mueller Park","130.908954158721","-12.3957539028876"
"Aviators Park","130.8371100046","-12.423786515355"
"Darwin General Cemetery","130.875328692131","-12.3934770881124"
"McMillans Road Greenbelt","130.893959399539","-12.3937693867053"
"Ken Waters Memorial Park","130.836280903492","-12.4230741774137"
"Vestey's Lagoon","130.836142714342","-12.4328653445048"
"Fannie Bay Foreshore","130.833813144838","-12.4223095217607"
"Bicentennial Park","130.836947819959","-12.4631196248228"
"Juliet Shields Park","130.893033566821","-12.3601760711729"
"Bailey St Park","130.893045046618","-12.3622555079086"
"William Forster Park","130.89526744384","-12.3621549290679"
"Peace Park","130.89488746112","-12.3735408381209"
"Rapid Creek Reserve","130.868310063805","-12.391127925502"
"Jingili Water Gardens","130.867662630899","-12.3872635660406"
"Rapid Creek Reserve - North","130.863428221261","-12.3809052536395"
"Lake Alexander","130.831677904244","-12.4142971782918"
"Bayview Sea Wall","130.855038399171","-12.4409081374524"
"Bayview Sea Wall","130.852746023395","-12.438535661495"
"Velodrome","130.85909302451","-12.396218003463"
"Jingili Water Gardens Skate Park","130.86650757049","-12.3855088615884"
"Malak Greenbelt","130.901137200586","-12.391678354837"
"East Point Reserve","130.825081334505","-12.4093960068618"
"Garanmanuk Park","130.887258763271","-12.358819007208"
"Mindil Beach","130.832613916534","-12.445714362871"
