"Name","Longitude","Latitude"
"Nightcliff Foreshore","130.85573645384","-12.375770206907"
"Nightcliff Pool","130.848446885367","-12.3768427197567"
"Casuarina Pool","130.884364114002","-12.3742345230012"
"Darwin General Cemetery","130.875328692131","-12.3934770881124"
"Vestey's Lagoon","130.836142714342","-12.4328653445048"
"Amphitheatre","130.83657458964","-12.4470347327895"
"Smith Street Mall","130.842528202085","-12.4638783783041"
"Bicentennial Park","130.836947819959","-12.4631196248228"
"Nightcliff Public Library","130.850396752782","-12.3869892893141"
"Pavonia Way","130.850822001256","-12.3870379620787"
"Jingili Water Gardens","130.867662630899","-12.3872635660406"
"Karama Public Library","130.915323031146","-12.4011963008112"
"Darwin City Public Library","130.845611048248","-12.4648484826762"
"Lake Alexander","130.831677904244","-12.4142971782918"
"Parap Market Area","130.844325460335","-12.4315241682252"
"Jingili Water Gardens Skate Park","130.86650757049","-12.3855088615884"
"East Point Reserve","130.825081334505","-12.4093960068618"
"Civic Centre","130.845702515693","-12.4645163008095"
"Mindil Beach","130.832613916534","-12.445714362871"
