X,Y,OBJECTID,Asset_ID,Asset_Sub_,Community,Asset_Owne,Size,Address,Location,Asset_Clas,Asset_Cl00
130.884600116582334,-12.374280200099289,1,CoD BBQ 1,BBQ - Electric,Casuarina,City of Darwin,Dual electric plates,17 Gsell St Casuarina,Casuarina Pool Complex - Lot 6249,58,Barbeques
130.828607468128155,-12.411872456873775,2,CoD BBQ 2,BBQ - Electric,East Point,City of Darwin,Dual electric plates,152 Alec Fong Lim Dr East Point,Foreshore Pavilion Opposite Lake Alexander - Nth,58,Barbeques
130.828685421219376,-12.411934028383598,3,CoD BBQ 3,BBQ - Electric,East Point,City of Darwin,Dual electric plates,152 Alec Fong Lim Dr East Point,Foreshore Pavilion Opposite Lake Alexander - Sth,58,Barbeques
130.822168853013551,-12.404845638846263,4,CoD BBQ 4,BBQ - Electric,East Point,City of Darwin,Dual electric plates,152 Alec Fong Lim Dr East Point,Pavilion north of Military Museum & Gun Turrets,58,Barbeques
130.831568237944794,-12.412357925781023,5,CoD BBQ 5,BBQ - Electric,East Point,City of Darwin,Dual electric plates,152 Alec Fong Lim Dr East Point,Lake Alexander Surrounds - Pavilion near Surf Lifesaving sheds,58,Barbeques
130.830556411407144,-12.412584766644073,6,CoD BBQ 6,BBQ - Electric,East Point,City of Darwin,Dual electric plates,152 Alec Fong Lim Dr East Point,Lake Alexander Surrounds - Pavilion near Playground,58,Barbeques
130.832005964316011,-12.4438572858987,7,CoD BBQ 7,BBQ - Electric,The Gardens,City of Darwin,Dual electric plates,73 Gilruth Ave The Gardens,Pavilion north end of Market Area,58,Barbeques
130.855113721926841,-12.375234843962623,8,CoD BBQ 8,BBQ - Electric,Rapid Creek,City of Darwin,Dual electric plates,315 Casuarina Dr Rapid Creek,Pavilion adjacent to Aralia Street,58,Barbeques
130.84723037472267,-12.37817968852924,9,CoD BBQ 9,BBQ - Electric,Nightcliff,City of Darwin,Dual electric plates,315 Casuarina Dr Rapid Creek,"Pavilion adjacent to Jacaranda Avenue, opposite Bill Bell Park",58,Barbeques
130.8415697600079,-12.428061146338733,10,CoD BBQ 10,BBQ - Electric,Parap,City of Darwin,Dual electric plates,77 Ross Smith Ave Parap,Parap Pool Complex - Lot 5292,58,Barbeques
130.867586877883781,-12.385996572265331,11,CoD BBQ 11,BBQ - Electric,Jingili,City of Darwin,Dual electric plates,91 Freshwater Rd Jingili,Pavilion - Trower Rd End (Nth),58,Barbeques
130.867716227792101,-12.387414584666155,12,CoD BBQ 12,BBQ - Electric,Jingili,City of Darwin,Dual electric plates,91 Freshwater Rd Jingili,Pavilion - next to playground,58,Barbeques
130.868078082081354,-12.387547767621855,13,CoD BBQ 13,BBQ - Electric,Jingili,City of Darwin,Dual electric plates,91 Freshwater Rd Jingili,Pavilion - Sanders St End (Sth),58,Barbeques
130.835119099618936,-12.430505211985164,14,CoD BBQ 14,BBQ - Electric,Fannie Bay,City of Darwin,Dual electric plates,39 East Point Rd Fannie Bay,Pavilion - Sailing Club End - Lot 5764,58,Barbeques
130.841694158626467,-12.381550069127192,15,CoD BBQ 15,BBQ - Electric,Nightcliff,City of Darwin,Dual electric plates,3 Aralia St Nightcliff,Adjacent to Aralia St  - Lot 9371 (Sth),58,Barbeques
130.841769233825403,-12.380206023122216,16,CoD BBQ 16,BBQ - Electric,Nightcliff,City of Darwin,Dual electric plates,3 Aralia St Nightcliff,Adjacent to Boat Ramp carpark - Lot 9371 (Nth),58,Barbeques
130.848568849624343,-12.376596294297428,17,CoD BBQ 17,BBQ - Electric,Nightcliff,City of Darwin,Dual electric plates,259 Casuarina Dr Nightcliff,Nightcliff Pool Complex - Lot 8657,58,Barbeques
130.85280358542505,-12.374626738723043,18,CoD BBQ 18,BBQ - Electric,Rapid Creek,City of Darwin,Dual electric plates,315 Casuarina Dr Rapid Creek,Adjacent to 296 Casuarina Dr - Lot 9353,58,Barbeques
130.84394713200146,-12.379248139948944,19,CoD BBQ 19,BBQ - Electric,Nightcliff,City of Darwin,Dual electric plates,217 Casuarina Dr Nightcliff,Adjacent to carpark opposite 226 Casuarina Dr - Lot 8694,58,Barbeques
130.891408900354691,-12.391405234490611,20,CoD BBQ 20,BBQ - Electric,Anula,City of Darwin,Dual electric plates,59 Yanyula Dr Anula,Yanyula Park next to playground - Lot 7019,58,Barbeques
130.903551646435233,-12.393727258382208,21,CoD BBQ 21,BBQ - Electric,Malak,City of Darwin,Dual electric plates,13 Malak Cres Malak,Pavilion at Malak Child Care/Community Centre - Lot 2284,58,Barbeques
130.892989121823206,-12.360430771870282,22,CoD BBQ 22,BBQ - Electric,Muirhead,City of Darwin,Single electric Plate,"3 Moore St, Muirhead",Pavilion in Park,58,Barbeques
130.893010107585127,-12.360446805067054,23,CoD BBQ 23,BBQ - Electric,Muirhead,City of Darwin,Single electric Plate,"3 Moore St, Muirhead",Pavilion in Park,58,Barbeques
130.89530842488287,-12.36183794284063,24,CoD BBQ 24,BBQ - Electric,Muirhead,DHA,Single electric Plate,"6 Raby St, Muirhead",Pavilion in Park,58,Barbeques
130.895303070565859,-12.361822162535763,25,CoD BBQ 25,BBQ - Electric,Muirhead,DHA,Single electric Plate,"6 Raby St, Muirhead",Pavilion in Park,58,Barbeques
130.894889872990206,-12.359024691954568,26,CoD BBQ 26,BBQ - Electric,Muirhead,DHA,Single electric Plate,"48 Asche St, Muirhead",Pavilion in Park,58,Barbeques
130.894906464501844,-12.359005053009511,27,CoD BBQ 27,BBQ - Electric,Muirhead,DHA,Single electric Plate,"48 Asche St, Muirhead",Pavilion in Park,58,Barbeques
