"DisplayName","Filename","Instances"
"AFL Field","AFLfield","253"
"Baby Changing Stations","BabyChangeRoom","183"
"Playground with Shade","Playgrounds_Shaded","21"
"WIFI Access Points","Wifi","21"
"BBQ Facilities","BBQ","27"
"Picnic Tables","PicnicTables","12"
"Drinking Fountains","Fountains","25"
"Toilets - Daytime Hours","ToiletsDaytime","19"
"Toilets - 24 hours","Toilets24","6"
"Showers","Showers","19"
"Share Paths - Cyclists and Pedestrians","SharedPaths","47"
"Bike Racks","BikeRacks","9"
"Exercise Equipments","ExerciseEquipment","6"
"Soccer Field","SoccerFields","6"
"Basketball Courts","BasketballCourts","4"
"Tennis Courts","TennisCourts","4"
"Cricket Fields","CricketField","8"
"Velodrome","Velodrome","1"
"Swimming Pools","SwimmingPools","3"
"Skateboard Parks","SkateboardPark","2"
"Rugby Field","RugbyField","1"
"Gaelic Football Fields","GaelicFootballField","2"
"Softball Fields","SoftballField","2"
"Metered Parking","Parking_Metered","289"
