"Name","Longitude","Latitude"
"Sunset Park","130.841790058742","-12.3808813655503"
"Nightcliff Foreshore","130.85573645384","-12.375770206907"
"Nightcliff Pool","130.848446885367","-12.3768427197567"
"Bill Bell Park","130.847723346722","-12.3787601284024"
"Cahill Park","130.874289516825","-12.3726667110502"
"Croker Park","130.874567820935","-12.3719446462159"
"Airlie Park","130.872634395698","-12.3663523149681"
"Ellengowan Park","130.873818687181","-12.3658364449876"
"Buchanan Park","130.874908035347","-12.3712557947343"
"Calvert Park","130.874526745005","-12.3644032247768"
"Kailis Park","130.890735889604","-12.3684764558434"
"Tommy Lyons Park","130.888743052112","-12.3549810145478"
"Matla Park","130.889797762254","-12.360785825866"
"Dangoerra Park","130.891130833036","-12.3638568035823"
"Blackburn St Park","130.893980086714","-12.3655203136942"
"Withnall Street Park","130.896231270594","-12.3652548246906"
"Bilingga Park","130.887059345892","-12.3520130181725"
"Bowditch St Park","130.891939067723","-12.3580008284"
"Marraki Park","130.876951094381","-12.3608248985763"
"Glencoe Park","130.877120233338","-12.3599954270472"
"Koolpinyah Park","130.882223969259","-12.3632549135884"
"Tiwi Oval","130.877553477584","-12.3630178895081"
"Dorisvale Park","130.883516248842","-12.3612141760408"
"Kapalga Park","130.878729555628","-12.365468689872"
"Wanguri Oval","130.887510257379","-12.3693578942885"
"Nakara Oval","130.876241651271","-12.3702390678639"
"Casuarina Pool","130.884364114002","-12.3742345230012"
"Strele Park","130.88523279028","-12.3712145065154"
"Johnson Park","130.878914261962","-12.3725674929052"
"Casuarina Library","130.8798718453","-12.3742309047701"
"Cahill Greenbelt","130.874002064697","-12.3733584786679"
"Copeland Park","130.874639874719","-12.3686137248977"
"Harwood Park","130.879280124688","-12.3680780042386"
"Britomart Park","130.879145179695","-12.3779175883072"
"Casuarina Child Centre","130.87975446833","-12.3749669733017"
"Alawa Park","130.874376966727","-12.379181705502"
"Wellington Park","130.874152039106","-12.378332529057"
"Stedcombe Park","130.878902276777","-12.3802413378472"
"Stobo Park","130.8741834732","-12.3811595792357"
"Colster Park","130.882178112121","-12.3821867389207"
"Cameron Park","130.872217895875","-12.3857450775977"
"Killian Park","130.874778526818","-12.3849233190279"
"Thornton Park","130.878273521638","-12.3873962467497"
"Jingili Oval","130.874628207377","-12.3884940935089"
"Gaden Park","130.871411998149","-12.3886497745929"
"Linde Park","130.879444122295","-12.3939859277928"
"Grasslands Park","130.897024258302","-12.3771563307195"
"Wulagi Greenbelt","130.891690810708","-12.3828503788936"
"Wulagi Oval","130.896812050395","-12.3830396479892"
"Kestrel Park","130.890774841358","-12.384990105721"
"Wulagi Greenbelt","130.897063199556","-12.3858487170041"
"Grebe Park","130.89473334912","-12.386990555978"
"Anula Greenbelt","130.889148942627","-12.3879012321745"
"Yanyula Greenbelt","130.895422140339","-12.3903201846666"
"Yanyula Park","130.890950126403","-12.3898958350405"
"Driffield Park","130.887775899313","-12.3921318374655"
"Haritos Park","130.889132367553","-12.3716197749673"
"Mazlin Park","130.887192430666","-12.3671371134262"
"Harmanis Park","130.889095700995","-12.3739466412976"
"Fong Park","130.886990049716","-12.3756758166179"
"Amsterdam Park","130.884221275322","-12.3777373831906"
"Groote Park","130.887501767958","-12.3792685692501"
"Wagaman Oval","130.885739966376","-12.3812677682784"
"Tasman Park","130.886740447184","-12.3833550788514"
"Greenwood Park","130.882028259365","-12.3856144710664"
"Lions Club Park","130.885438816164","-12.3864581121936"
"Wilson Park","130.883880005059","-12.3888200528577"
"Moil Oval","130.8812694151","-12.390099130686"
"Byrne Park","130.883011665832","-12.3931949962085"
"Butters Park","130.881447454122","-12.3923589695856"
"Baines Street","130.900977688427","-12.3711375325426"
"Savannah Park","130.899984124192","-12.377455018165"
"Baines Street","130.899848392046","-12.3722558154199"
"Parkside Park","130.903561401671","-12.3764521577061"
"Killupa Park","130.902945795577","-12.3808828439286"
"Rosella Park","130.902656450693","-12.3856231630657"
"Moody Park","130.90713343709","-12.3885945169371"
"Bayfield Park","130.906577951435","-12.3917374198477"
"Malak Oval","130.902790843458","-12.3945056736367"
"Holzerland Park","130.904384703797","-12.3952314840901"
"Abbot Park","130.905821838292","-12.3992536263382"
"Holzerland Green Belt","130.906932609267","-12.3958027330203"
"Mullen Park","130.873538234073","-12.3770638767551"
"Young Park","130.871214072348","-12.3790288417845"
"Ternau Park","130.853048819435","-12.3796644769453"
"Bald Park","130.870290794569","-12.3826736795376"
"Bike Fun Park","130.868091691051","-12.3825548386757"
"Lakeside Drive Community Garden","130.8686409096","-12.3804694924367"
"Varney Park","130.869689975072","-12.3865711598734"
"Gulnare Park","130.865997393055","-12.3936596947642"
"Harris Park","130.856475598927","-12.3933072111474"
"Mueller Park","130.908954158721","-12.3957539028876"
"Mahogany Park","130.910782685285","-12.3963350908275"
"Koolinda Park","130.915821347359","-12.3987124450333"
"Manunda Park","130.916771511789","-12.4038532406682"
"Karama Childcare Centre","130.916660126685","-12.4016247784827"
"Eaton Park","130.918786322004","-12.4056237562661"
"Whittle Park","130.917186687463","-12.3971833729393"
"Dickinson Park","130.917717271835","-12.3946495443756"
"Freycinet Park","130.920996115084","-12.4069343598177"
"Hayball Park","130.919410516329","-12.3968530438863"
"Bill Bell Park Tennis Courts","130.847964353478","-12.3793129539237"
"Nightcliff Oval","130.851634888499","-12.3830119707043"
"Nightcliff Childcare Centre","130.850584577538","-12.3822996396879"
"Nightcliff Community Centre","130.850990057995","-12.3820062759796"
"Easther Park","130.854053755086","-12.389781838359"
"Sunset Cove","130.850000505747","-12.3913843731483"
