"Name","Longitude","Latitude"
"Sunset Park","130.841790058742","-12.3808813655503"
"Nightcliff Foreshore","130.85573645384","-12.375770206907"
"Nightcliff Pool","130.848446885367","-12.3768427197567"
"Casuarina Pool","130.884364114002","-12.3742345230012"
"Que Noy Park","130.843919468306","-12.4490569380748"
"Vestey's Lagoon","130.836142714342","-12.4328653445048"
"William Forster Park","130.89526744384","-12.3621549290679"
"Jingili Water Gardens","130.867662630899","-12.3872635660406"
"Lake Alexander","130.831677904244","-12.4142971782918"
"Jingili Water Gardens Skate Park","130.86650757049","-12.3855088615884"
"East Point Reserve","130.825081334505","-12.4093960068618"
"Garanmanuk Park","130.887258763271","-12.358819007208"
